time,voltage,current,omega,rpm,torque,load_torque,electrical_angle_deg
5e-05,12.0,0.9516216815433676,0.0026702239625453843,0.025498760568091555,0.05709730089260205,0.01,0.0
0.0001,12.0,1.8126535556152468,0.012864345147609547,0.12284544719293786,0.10875921333691481,0.01,0.0
0.00015000000000000001,12.0,2.59168171306404,0.030081300093162643,0.2872552562674516,0.1555009027838424,0.01,0.0
0.0002,12.0,3.2964780619391636,0.05365198485323146,0.512338715764997,0.1977886837163498,0.01,0.0
0.00025,12.0,3.9340779438759785,0.08297070996872374,0.7923119174019828,0.2360446766325587,0.01,0.0
0.00030000000000000003,12.0,4.510849940637695,0.11748919049133327,1.12193912559366,0.2706509964382617,0.01,0.0
0.00035000000000000005,12.0,5.032559064888214,0.1567111055903638,1.4964808255261413,0.3019535438932928,0.01,0.0
0.0004000000000000001,12.0,5.504423962191597,0.2001871737614418,1.911646694863778,0.3302654377314958,0.01,0.0
0.0004500000000000001,12.0,5.931168691811633,0.24751069477202686,2.3635530324646448,0.355870121508698,0.01,0.0
0.0005000000000000001,12.0,6.317069600094393,0.29831351410971574,2.8486842217005073,0.37902417600566357,0.01,0.0
0.0005500000000000001,12.0,6.6659977515239515,0.3522623698915209,3.3638578460100717,0.39995986509143705,0.01,0.0
0.0006000000000000002,12.0,6.981457338463525,0.4090555859871847,3.906193110552737,0.41888744030781144,0.01,0.0
0.0006500000000000002,12.0,7.2666204506936936,0.4684200785448178,4.473082256634098,0.4359972270416216,0.01,0.0
0.0007000000000000002,12.0,7.524358549740345,0.5301086462168114,5.062164685269498,0.45146151298442067,0.01,0.0
0.0007500000000000002,12.0,7.7572709602889836,0.5938975171989235,5.671303533132756,0.465436257617339,0.01,0.0
0.0008000000000000003,12.0,7.967710661384823,0.6595841287436072,6.298564468470371,0.4780626396830894,0.01,0.0
0.0008500000000000003,12.0,8.157807633325818,0.7269851171153213,6.942196496588631,0.4894684579995491,0.01,0.0
0.0009000000000000003,12.0,8.329489991902722,0.7959344980436239,7.600614584460556,0.4997693995141633,0.01,0.0
0.0009500000000000003,12.0,8.484503119685726,0.8662820196200195,8.272383932049381,0.5090701871811436,0.01,0.0
0.0010000000000000002,12.0,8.624426984183408,0.9378916712955647,8.956205734284492,0.5174656190510045,0.01,0.0
0.0010500000000000002,12.0,8.750691814709386,1.0106403341851082,9.6509042924163,0.5250415088825632,0.01,0.0
0.0011,12.0,8.864592293506698,1.0844165592861252,10.355415346865533,0.5318755376104018,0.01,0.0
0.00115,12.0,8.967300401938049,1.1591194614893068,11.06877551580234,0.5380380241162829,0.01,0.0
0.0012,12.0,9.059877049205234,1.2346577184069842,11.790112734661975,0.543592622952314,0.01,0.0
0.0012499999999999998,12.0,9.14328259898099,1.310948664085497,12.51863760173541,0.5485969559388594,0.01,0.0
0.0012999999999999997,12.0,9.218386398401325,1.3879174686090747,13.253635543963483,0.5531031839040795,0.01,0.0
0.0013499999999999996,12.0,9.28597540396752,1.465496395455048,13.994459725201555,0.5571585242380511,0.01,0.0
0.0013999999999999996,12.0,9.346761989946305,1.5436241292316657,14.740524626588535,0.5608057193967783,0.01,0.0
0.0014499999999999995,12.0,9.401391016745244,1.6222451671281557,15.491300235323031,0.5640834610047146,0.01,0.0
0.0014999999999999994,12.0,9.450446229397599,1.701309268038834,16.246306784186086,0.5670267737638559,0.01,0.0
0.0015499999999999993,12.0,9.49445604964419,1.7807709538953247,17.005109989614635,0.5696673629786514,0.01,0.0
0.0015999999999999992,12.0,9.533898819082802,1.8605890582589772,17.76731674107664,0.5720339291449681,0.01,0.0
0.0016499999999999991,12.0,9.56920754540906,1.9407263176944924,18.532571198976633,0.5741524527245436,0.01,0.0
0.001699999999999999,12.0,9.60077419884226,2.0211490018702603,19.300551262374142,0.5760464519305355,0.01,0.0
0.001749999999999999,12.0,9.628953601366417,2.101826578715165,20.07096537146671,0.577737216081985,0.01,0.0
0.0017999999999999989,12.0,9.654066947376634,2.182731411309454,20.843549613110913,0.5792440168425981,0.01,0.0
0.0018499999999999988,12.0,9.676404990663558,2.2638384835021395,21.61806510066154,0.5805842994398135,0.01,0.0
0.0018999999999999987,12.0,9.696230929358062,2.3451251515324407,22.39429560213108,0.5817738557614838,0.01,0.0
0.0019499999999999986,12.0,9.713783017461317,2.4265709191907834,23.17204539313544,0.582826981047679,0.01,0.0
0.0019999999999999987,12.0,9.729276928872565,2.5081572342884444,23.951137313322178,0.5837566157323539,0.01,0.0
0.002049999999999999,12.0,9.742907897371106,2.5898673044163627,24.731411006996794,0.5845744738422664,0.01,0.0
0.002099999999999999,12.0,9.754852653785957,2.671685930165023,25.5127213304899,0.5852911592271574,0.01,0.0
0.002149999999999999,12.0,9.765271179574318,2.7535993541505768,26.294936910462887,0.5859162707744591,0.01,0.0
0.0021999999999999993,12.0,9.774308294208298,2.8355951243491972,27.077938838847142,0.5864584976524979,0.01,0.0
0.0022499999999999994,12.0,9.782095092120386,2.9176619703836346,27.86161949146768,0.5869257055272231,0.01,0.0
0.0022999999999999995,12.0,9.788750243465415,2.9997896915344575,28.64588145862925,0.5873250146079249,0.01,0.0
0.0023499999999999997,12.0,9.794381171605542,3.0819690553647905,29.430636577053942,0.5876628702963325,0.01,0.0
0.0024,12.0,9.799085119001532,3.164191705952685,30.21580505356481,0.5879451071400918,0.01,0.0
0.00245,12.0,9.802950112086442,3.246450080820573,31.00131467182064,0.5881770067251865,0.01,0.0
0.0025,12.0,9.806055834695412,3.32873733573756,31.78710007423072,0.5883633500817247,0.01,0.0
0.00255,12.0,9.80847441871797,3.4110472766484206,32.57310211192464,0.5885084651230782,0.01,0.0
0.0026000000000000003,12.0,9.810271159817926,3.493374298053887,33.35926725632738,0.5886162695890755,0.01,0.0
0.0026500000000000004,12.0,9.8115051653224,3.5757133272308117,34.145547066501095,0.588690309919344,0.01,0.0
0.0027000000000000006,12.0,9.81222994070853,3.6580597737387506,34.93189770696854,0.5887337964425118,0.01,0.0
0.0027500000000000007,12.0,9.812493920507126,3.7404094837119537,35.718279511233696,0.5887496352304276,0.01,0.0
0.002800000000000001,12.0,9.81234094889104,3.8227586984832387,36.504656586668865,0.5887404569334623,0.01,0.0
0.002850000000000001,12.0,9.811810714716772,3.905104017129198,37.290996456847765,0.5887086428830063,0.01,0.0
0.002900000000000001,12.0,9.810939145335931,3.987442362565108,38.07726973777575,0.5886563487201558,0.01,0.0
0.0029500000000000012,12.0,9.809758763084027,4.069770950853121,38.863449844804634,0.5885855257850415,0.01,0.0
0.0030000000000000014,12.0,9.808299007983782,4.152087263419211,39.64951272732408,0.5884979404790269,0.01,0.0
0.0030500000000000015,12.0,9.806586529864923,4.234389021903199,40.435436628597,0.5883951917918954,0.01,0.0
0.0031000000000000016,12.0,9.804645452798912,4.31667416539232,41.221201868356175,0.5882787271679347,0.01,0.0
0.0031500000000000018,12.0,9.802497614472447,4.39894082981242,42.00679064600464,0.5881498568683468,0.01,0.0
0.003200000000000002,12.0,9.80016278287483,4.481187329272322,42.79218686246753,0.5880097669724897,0.01,0.0
0.003250000000000002,12.0,9.79765885244924,4.563412139176233,43.57737595892746,0.5878595311469544,0.01,0.0
0.003300000000000002,12.0,9.795002021654186,4.645613880936643,44.36234477084343,0.5877001212992512,0.01,0.0
0.0033500000000000023,12.0,9.792206953696944,4.727791308136021,45.147081395804754,0.5875324172218166,0.01,0.0
0.0034000000000000024,12.0,9.78928692203381,4.809943294000017,45.931575073908974,0.5873572153220286,0.01,0.0
0.0034500000000000025,12.0,9.786253942080883,4.892068820057852,46.715816079476575,0.5871752365248529,0.01,0.0
0.0035000000000000027,12.0,9.783118890442225,4.97416696587741,47.4997956230283,0.5869871334265334,0.01,0.0
0.003550000000000003,12.0,9.779891612838426,5.0562368997731575,48.283505762552295,0.5867934967703056,0.01,0.0
0.003600000000000003,12.0,9.776581021806464,5.1382778703947,49.06693932318082,0.5865948613083879,0.01,0.0
0.003650000000000003,12.0,9.77319518514026,5.220289199112521,49.85008982447935,0.5863917111084156,0.01,0.0
0.003700000000000003,12.0,9.769741405949473,5.3022702731253455,50.63295141462677,0.5861844843569683,0.01,0.0
0.0037500000000000033,12.0,9.766226295130885,5.384220539220734,51.4155188108334,0.5859735777078531,0.01,0.0
0.0038000000000000035,12.0,9.762655836971458,5.46613949812701,52.19778724540594,0.5857593502182875,0.01,0.0
0.0038500000000000036,12.0,9.759035448534013,5.548026699400468,52.97975241692385,0.5855421269120408,0.01,0.0
0.0039000000000000037,12.0,9.755370033414733,5.62988173679714,53.76141044604298,0.5853222020048839,0.01,0.0
0.003950000000000004,12.0,9.751664030405934,5.711704244083185,54.542757835487784,0.585099841824356,0.01,0.0
0.0040000000000000036,12.0,9.747921457546907,5.793493891242353,55.3237914338352,0.5848752874528144,0.01,0.0
0.004050000000000003,12.0,9.744145951999943,5.875250381042866,56.10450840273083,0.5846487571199965,0.01,0.0
0.004100000000000003,12.0,9.740340806147188,5.956973445929677,56.88490618721217,0.5844204483688312,0.01,0.0
0.004150000000000003,12.0,9.736509000266489,6.03866284521125,57.66498248884436,0.5841905400159894,0.01,0.0
0.004200000000000002,12.0,9.732653232110465,6.120318362512964,58.44473524140197,0.5839591939266279,0.01,0.0
